scientific_name,common_name,category,added_by
Hippoglossus hippoglossus,halibut,animal,JL
Hippoglossus stenolepis,halibut,animal,JL
Homarus americanus,lobster,animal,BP
Hoplobatrachus tigerinus,indian bullfrog,animal,BP
Hoplostethus atlanticus,Orange roughy,animal,JL
Hordeum vulgare,barley,plant,BP
Houttuynia cordata,fish mint,plant,BP
Hua gaboni,tropical garlic,plant,BP
Humulus lupulus,hops,plant,JL
Hylocereus undatus ,"dragon fruit, pitahaya",plant,BP
Hypomyces lactifluorum,lobster mushroom,fungus,JL
Hypsizygus marmoreus,white beech,fungus,BP
Cetacea,whales,animal,JL
Inga vera,"ice-cream-bean, joaquiniquil",plant,BP
Illicium verum,star anise,plant,SJ
Ipomoea aquatica,"water spinach, swamp morning glory",plant,BP
Ipomoea batatas,sweet potato,plant,BP
Juglans nigra,black walnut,plant,JL
Juglans regia,walnut,plant,BP
Lactuca sativa,lettuce,plant,BP
Laetiporus ,chicken of the woods,fungus,JL
Lagenaria siceraria,calabash,plant,BP
Lasia spinosa,"lasia, geli-geli",plant,BP
Laurus nobilis,bay leaf,plant,BP
Leccinum scabrum,Birch bolete,fungus,JL
Lens,lentil,plant,BP
Lens culinaris,lentil,plant,BP
Lentinula edodes,shiitake,fungus,BP
Limonia acidissima,"wood apple, elephant apple",plant,JL
Linum usitatissimum,flaxseed,plant,BP
Littorina littorea,periwinkle,animal,JL
Lophius,Monkfish,animal,JL
Luffa acutangula,chinese okra,plant,BP
Luffa cylindrica ,sponge gourd,plant,BP
Lupinus mutabilis,lupini beans,plant,JL
Lupinus albus,lupini beans,plant,JL
Lycium chinense,goji berry,plant,JL
Lycium barbarum,goji berry,plant,JL
Macadamia integrifolia,macadamia,plant,BP
Maclura pomifera,osage orange,plant,JL
Mallotus villosus,"capelin, masago (roe)",animal,JL
Malus domestica,apple,plant,BP
Malus sylvestris,crab apple,plant,BP
Mangifera indica,mango,plant,BP
Manihot esculenta,cassava,plant,BP
Marsilea quadrifolia,water clover,plant,BP
Megaphrynium macrostachyum,yoruba soft cane,plant,BP
Melanogrammus aeglefinus,Haddock,animal,JL
Meleagris,turkey,animal,BP
Melissa officinalis,lemon balm,plant,BP
Mentha,mint,plant,BP
Mentha spicata,spearmint,plant,BP
Mentha x piperita,peppermint,plant,BP
Mercenaria mercenaria,quahog,animal,BP
Mercenaria mercenaria,"quahog, hard clam",animal,JL
"Mercenaria mercenaria, others",clam,animal,JL
Merlangius merlangus,whiting,animal,JL
Metacarcinus magister,dungeness crab,animal,JL
Cancer magister,dungeness crab,animal,JL
Microcosmus sabatieri,"sea fig, violet",animal,JL
Momordica charantia,bitter melon,plant,BP
Morchella angusticeps ,black morel,fungus,JL
Morone saxatilis,striped bass,animal,JL
Morus nigra,mulberry,plant,JL
Murraya koenigii,curry leaf,plant,BP
Musa,banana,plant,BP
Musa†◊†paradisiaca,plantain,plant,JL
Musa acuminata,banana,plant,BP
Myristica fragrans,nutmeg,plant,BP
Mytilus edulis,blue mussel,animal,BP
Nasturtium microphyllum ,one-row watercress,plant,BP
Nautilus,nautilus,animal,JL
Nelumbo nucifera,lotus root,plant,JL
Ocimum basilicum,basil,plant,BP
Odocoileus virginianus,white-tailed deer,animal,BP
Olea europaea,olive,plant,BP
Oncorhynchus mykiss,rainbow trout,animal,JL
Ophiodon elongatus,Lingcod,animal,JL
Opuntia,"nopales, prickly pear, paddle cactus",plant,JL
Anguilliformes,eel,animal,JL
Octopoda,octopus,animal,JL
