superkingdom,kingdom,phylum,order,family,family_color,genus,genus_color,species,species_color
Eukaryota,Viridiplantae,Streptophyta,Myrtales,Myrtaceae,#FDDBC7,Psidium,,Psidium guajava,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Lamiales,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
