needs_QC,scientific_name,common_name,alternative_names,category,source
,Atherinops affinis,silverside,topsmelt,animal,"FDA The Seafood List, 2023/07/21"
,Atherinopsis californiensis,silverside,jacksmelt,animal,"FDA The Seafood List, 2023/07/21"
,Atractoscion nobilis,seabass,,animal,"FDA The Seafood List, 2023/07/21"
,Atractosteus spatula,gar,,animal,"FDA The Seafood List, 2023/07/21"
,Atrina pectinata,pen shell,,animal,"FDA The Seafood List, 2023/07/21"
,Atrina serrata,penshell,,animal,"FDA The Seafood List, 2023/07/21"
,Atrobucca nibe,croaker,,animal,"FDA The Seafood List, 2023/07/21"
,Atule mate,scad,yellowtail scad,animal,"FDA The Seafood List, 2023/07/21"
,Aulacomya ater,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Aulostomus maculatus,trumpetfish,,animal,"FDA The Seafood List, 2023/07/21"
,Austroglossus microlepis,sole,west coast sole,animal,"FDA The Seafood List, 2023/07/21"
,Austroglossus pectoralis,sole,mud sole,animal,"FDA The Seafood List, 2023/07/21"
,Austrovenus stutchburyi,venus clam,clam,animal,"FDA The Seafood List, 2023/07/21"
,Auxis rochei,tuna,bullet tuna,animal,"FDA The Seafood List, 2023/07/21"
,Auxis thazard,tuna,frigate tuna,animal,"FDA The Seafood List, 2023/07/21"
,Babylonia areolata,whelk,sea snail,animal,"FDA The Seafood List, 2023/07/21"
,Bagarius bagarius,goonch,ayres,animal,"FDA The Seafood List, 2023/07/21"
,Bagarius yarrelli,goonch,,animal,"FDA The Seafood List, 2023/07/21"
,Bagre marinus,gafftopsail fish,"gafftopsail catfish, gafftopsail whiskered fish",animal,"FDA The Seafood List, 2023/07/21"
,Bairdiella chrysoura,silver perch,perch,animal,"FDA The Seafood List, 2023/07/21"
,Balistes capriscus,gray triggerfish,triggerfish,animal,NOAA Fisheries
,Balistes vetula,triggerfish,queen triggerfish,animal,"FDA The Seafood List, 2023/07/21"
,Barbatia cancellaria,arkshell,,animal,"FDA The Seafood List, 2023/07/21"
,Barbonymus altus,red tailed tinfoil,barb,animal,"FDA The Seafood List, 2023/07/21"
,Barbonymus gonionotus,silver barb,barb,animal,BP
,Barbonymus schwanenfeldii,tinfoil barb,barb,animal,BP
,Basilichthys australis,silverside,south american silverside,animal,"FDA The Seafood List, 2023/07/21"
,Bathycongrus aequoreus,conger eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Bathynomus giganteus,isopod,,animal,"FDA The Seafood List, 2023/07/21"
,Bathyraja aleutica,skate,aleutian skate,animal,"FDA The Seafood List, 2023/07/21"
,Bathyraja interrupta,skate,sandpaper skate,animal,"FDA The Seafood List, 2023/07/21"
,Bathyraja parmifera,skate,alaska skate,animal,"FDA The Seafood List, 2023/07/21"
,Bathyraja spinicauda,skate,spinytail skate,animal,"FDA The Seafood List, 2023/07/21"
,Bathyraja trachura,skate,roughtail skate,animal,"FDA The Seafood List, 2023/07/21"
,Bathytoshia centroura,stingray,,animal,"FDA The Seafood List, 2023/07/21"
,Batocera roylei,beetle,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Batrachoides surinamensis,toadfish,packoo,animal,"FDA The Seafood List, 2023/07/21"
,Berryteuthis magister,squid,"magistrate armhook squid, calamari",animal,"FDA The Seafood List, 2023/07/21"
,Beryx decadactylus,alfonsino,,animal,"FDA The Seafood List, 2023/07/21"
,Beryx splendens,alfonsino,,animal,"FDA The Seafood List, 2023/07/21"
,Bison bison,bison,,animal,BP
